X,Y,item,pagerank,chosen
-8.005709,-26.615181,spiral of silence,0.0003376580980918535,0.0
76.2897,-0.63141704,spatial dependence,0.0005903752205611727,1.0
39.03101,11.6935005,principal components analysis,4.246790881743274e-05,0.0
-64.757164,-38.476185,graphics processing unit,0.00019216973687484961,0.0
-15.403924,31.22488,constructed language,0.00021082222171908645,1.0
12.297364,-37.68715,animal consciousness,0.00019596707894081348,0.0
-6.326559,15.959834,computational linguistics,0.00026912301285114454,0.0
-41.23627,-34.415535,3d printing,7.420270147615493e-05,0.0
42.247803,-16.901155,artificial neural network,0.00048746025129929235,0.0
42.68383,53.22509,optimal control,0.000367726815212547,0.0
-14.741395,13.415812,natural-language processing,0.001191958493293588,1.0
14.723662,-53.972366,perception,0.0006821165698085305,0.0
-18.217438,-37.931343,speech recognition software in healthcare,0.00011973313754561418,0.0
86.12085,17.646894,correlation,6.651801466816534e-05,1.0
10.575489,1.9500424,problem shaping,0.0002379695880348283,0.0
58.471462,65.00536,decision theory,9.174966326033349e-05,0.0
35.46495,-14.641378,cognitive architecture,0.00026086204222074865,0.0
-30.963186,-20.737148,openness,0.00011514378258393296,0.0
-40.861423,-7.2994547,data management,0.00028590971912910467,0.0
35.933216,37.284794,system dynamics,0.0002419760742042052,0.0
20.612185,14.534097,cluster analysis,8.861238807888826e-05,0.0
-4.164883,43.898403,fuzzy logic,0.00019666892591735854,0.0
-82.3963,22.96726,ieee 754,4.1704850482493736e-05,0.0
57.40947,-3.46313,dynamical systems theory,0.000350642816381385,0.0
95.34339,-6.5755506,superlens,0.0007675046536439219,1.0
29.649696,-23.670269,artificial consciousness,6.651801466816534e-05,0.0
22.476526,-4.2143545,biologically inspired computing,0.00021382378597363825,0.0
59.837566,-33.190353,noogenesis,0.0002557619005261022,0.0
-8.684502,-22.198637,crowd psychology,0.0001642566932146575,0.0
7.8997645,-66.54513,optical illusion,0.00030919816717056743,0.0
-29.196875,-78.23852,transhumanism,0.0003174130895064944,1.0
3.1031349,-14.7147,speech repetition,0.00010635061782313283,0.0
18.205805,-32.5193,theory of mind,0.0008936620234402579,0.0
5.8359485,-40.20572,turing test,4.233652867165292e-05,0.0
-27.45319,13.3713255,natural-language programming,9.953241761908785e-05,0.0
43.188713,47.65757,kalman filter,0.00013698073400412238,0.0
-4.3336687,-22.406187,collective effervescence,0.00022854264976577998,0.0
24.162289,-17.023308,mental model,0.0006697287852182111,0.0
34.054222,-35.631313,predictive coding,0.00017576083266873703,0.0
-40.496147,39.78654,first-order logic,8.905405728555678e-05,0.0
13.802056,-4.396209,meme,0.00021594573388887084,0.0
16.030453,28.424364,social network analysis,0.0006932092990676579,0.0
19.158928,-58.18984,gestalt psychology,4.233652867165292e-05,0.0
-13.711265,19.791069,language acquisition,4.233652867165292e-05,0.0
-1.7335478,-4.909737,library,4.233652867165292e-05,0.0
8.752485,33.486076,web analytics,4.233652867165292e-05,0.0
-3.752032,-16.177336,space mapping,0.00012780889917980834,0.0
42.92,-31.646467,brain–computer interface,0.0012983015862913375,0.0
-2.494467,51.53926,interval finite element,0.00046526196083601797,0.0
-52.857426,53.80341,boolean algebra (structure),0.00047238917465066555,0.0
-39.414238,32.297825,relational algebra,0.00031687061258983234,0.0
18.986797,13.142918,data clustering,0.0002972194972125038,0.0
-3.416902,-28.273096,group behaviour,0.00012621126879041274,0.0
-67.866295,-18.911926,stream processing,0.00053607124652849,0.0
22.54816,78.59348,ising model,0.00015894874446213442,0.0
-61.818523,43.26031,logic gate,0.00014979975012301488,0.0
36.33498,-0.72419477,deep learning,6.630650171470071e-05,1.0
12.505186,-12.2625475,map–territory relation,0.0002014601561955095,0.0
-27.027212,54.884693,catch-22 (logic),0.00024448341898827223,0.0
-40.866043,22.824997,siri (software),0.00025645180526085034,0.0
-33.035637,-40.314865,robotic mapping,0.0005922204085804539,0.0
49.516613,-21.798632,mathematical neuroscience,0.00013713611770546766,0.0
39.300148,24.531263,analog signal processing,0.00044810454532283377,0.0
65.01969,-34.565792,ecology,0.000812149775335358,0.0
32.402916,-67.43279,visual system,0.00010488764821344824,0.0
33.486362,61.430904,stochastic process,0.0002450724569352032,0.0
-11.223201,26.470789,linguistics,6.896141813706579e-05,0.0
-84.23766,20.840158,floating point,0.0001366141926023186,0.0
75.08515,9.68665,fourier analysis,0.0002751392397727306,0.0
-0.00846678,-69.2038,motion perception,0.000564903470220523,0.0
-34.26853,60.162586,principle of bivalence,0.000956235414698857,0.0
-27.55554,-12.183649,open source intelligence,0.00010631252821658855,0.0
-79.740135,-23.42602,parallel computing,0.0010922450235178985,0.0
-50.800327,-67.066124,lifestreaming,0.0003900176169267207,0.0
-69.944115,-38.1344,unified video decoder,0.0003402556291056437,0.0
30.684664,-24.645586,simulated consciousness,0.0003856378289608157,0.0
31.119476,6.276416,distributional semantics,0.0007501257351335137,0.0
68.35633,47.866833,conservation biology,8.01689252082998e-05,0.0
-12.604934,71.90137,logistic function,0.0005042642375954681,0.0
4.8542914,-90.15241,marketing research,0.000479392562605189,0.0
-68.72863,-25.74589,cuda,0.00010126137944567348,0.0
-29.17816,-4.0518436,web scraping,8.92872828212172e-05,0.0
-17.65022,-6.4404073,collaborative filtering,0.00041654321380740766,0.0
-50.586784,-68.66419,lifecasting (video stream),0.00022529547245398146,0.0
-53.097366,39.350956,many-valued logic,0.00026057747076804234,0.0
-20.969646,-26.936882,darpa,0.00021164566898051654,0.0
54.230373,-45.79259,recognition of human individuals,0.0003752361046263035,0.0
-23.281235,6.0805225,information extraction,0.0008510068531744083,0.0
39.068356,-43.655777,cognitive neuropsychology,4.326438214984662e-05,0.0
77.00544,41.28455,forestry,0.00010165146782850412,0.0
-35.593285,-17.353828,open data,0.0005154203705852717,0.0
40.992756,-66.309166,color theory,0.0006295114277553936,0.0
-23.773605,12.320576,structured query language,0.001495201407912308,0.0
27.03272,-2.0308073,pattern recognition,0.0002965589537605274,0.0
-26.878986,-60.756786,smartdust,0.0006764020842406879,0.0
-42.452827,-22.812147,open-source software,0.00019951476451362637,0.0
45.675148,-65.97135,gamma correction,0.00047196132625173165,0.0
9.314064,-40.95747,hard problem of consciousness,0.00025079432321474234,0.0
62.348267,25.809336,normal distribution,4.326438214984662e-05,0.0
-9.368838,33.707638,origin of language,0.0007653922861543646,0.0
18.326235,34.379856,predictive analytics,0.0001594353220325628,0.0
-41.193417,0.65947014,data governance,0.0004668625375196929,0.0
76.659355,13.493047,spectral density,0.00034435460399163573,0.0
-20.212122,-48.970192,computer vision,0.0012940202835906244,1.0
46.381607,-50.713894,n170,0.0005431557811505426,0.0
-73.3285,-9.8376665,vision processing unit,0.0009978517506599558,0.0
-22.098717,-20.97063,the wisdom of crowds,0.00020877315138683182,0.0
43.893818,-47.896793,prosopagnosia,0.0009057883096367039,0.0
62.466614,-5.43664,social complexity,0.0003333948806351005,0.0
45.768913,-14.3533745,neural correlate,4.326438214984662e-05,0.0
-41.017483,-40.98388,holography,0.0004899657100912063,0.0
-19.450521,24.249208,foreign language reading aid,4.746731732834048e-05,0.0
-1.4412822,-40.179623,virtual reality,4.746731732834048e-05,0.0
-1.3730948,-68.886314,motion sensing in vision,0.00024071136407422076,0.0
-71.56808,-27.55705,opencl,4.746731732834048e-05,0.0
72.57966,19.128855,signal processing,0.0002980291486612697,0.0
47.1405,4.856888,vector quantization,0.0004792334943854404,0.0
76.07925,38.062725,silviculture,0.00021757697570590068,0.0
39.406006,40.71379,black box,0.00045173954369852944,0.0
20.67534,49.795418,optimal design,8.622893735385541e-05,0.0
-73.181175,-25.322144,gpgpu,0.00019449389580092688,0.0
-13.995538,65.14503,self-fulfilling prophecy,8.31821115330824e-05,0.0
-11.088515,54.108387,cycle of poverty,4.919206366611124e-05,0.0
-1.6563388,27.723583,informatics (academic field),0.00012048867904673375,0.0
-17.38147,25.21263,language education,8.763046021995828e-05,0.0
9.152272,-65.27039,visual illusion,5.074575083486678e-05,0.0
19.378592,4.608336,analogy,0.00036817255708425204,0.0
-40.92927,27.949194,prolog,0.0004577646967134444,0.0
60.304398,19.726141,digital filter,4.495824113862851e-05,0.0
-51.201603,-72.43338,digital footprint,0.0004906025175204204,0.0
32.355938,-47.967827,behavioral neuroscience,0.001122731954756231,0.0
-40.714333,51.64516,exclusive or,4.495824113862851e-05,0.0
20.053493,-53.440357,face perception,4.495824113862851e-05,0.0
-15.545426,36.74454,basic english,4.495824113862851e-05,0.0
-20.145384,24.090029,computer-assisted language learning,4.495824113862851e-05,0.0
29.93722,-35.12606,enactivism,7.463472588617818e-05,0.0
85.37971,-13.321182,adaptive optics,4.495824113862851e-05,0.0
-40.531765,60.8714,indicator function,0.0002146962536986987,0.0
13.744288,-42.02058,eliminative materialism,0.00017750631390937947,0.0
66.93475,24.957584,convolution,0.0002589381410095816,1.0
12.814834,-28.0875,intentional stance,0.0002351254038435504,0.0
-72.591866,-24.606771,general-purpose computing on graphics processing units,0.0006699285931749176,0.0
9.523872,6.02598,collective problem solving,0.0005187689207900429,0.0
-87.28884,-28.214481,computer cluster,0.00043073721388708815,0.0
26.57691,-9.7115965,conceptual model,0.0004621163026846081,0.0
-48.11936,31.344948,mereology,8.835873098509622e-05,0.0
-9.863322,-50.836082,sound card,0.00016199454757595593,0.0
-48.71488,46.526764,truth function,4.0472756283537384e-05,0.0
50.028793,49.599636,monte carlo method,0.0011932867181130488,0.0
-50.246998,-2.5426266,system integration,4.0472756283537384e-05,0.0
12.898933,-19.950594,constructivist epistemology,0.00020893775895249256,0.0
-69.949356,-6.863802,system on a chip,0.00014702912756902578,0.0
-20.533747,23.628675,foreign-language reading aid,0.0004290852004351345,0.0
-7.4048395,68.00644,logistic regression,0.0005931322266886213,0.0
83.060555,15.279852,autocorrelation,0.0005344852349528332,0.0
-25.105207,43.34455,symbol grounding,0.0001508153546611304,0.0
30.338383,61.56263,markov chain,0.0004327558096615763,0.0
8.339255,-81.559074,saccade,0.0003580787064391308,0.0
-34.768753,-43.506428,simultaneous localization and mapping,0.0003912634806618011,0.0
19.883797,46.27335,model selection,4.0472756283537384e-05,0.0
57.47634,10.836872,impulse response,0.0006224426897658359,0.0
-69.98056,-42.55578,x-video motion compensation,4.0472756283537384e-05,0.0
-24.414577,24.087639,virtual world language learning,0.0005082439628437446,0.0
-71.60264,-39.085438,nvidia purevideo,0.0003365455718150534,0.0
55.049202,-9.301001,cybernetics,0.00014521906690256604,0.0
-69.64952,-14.076843,hardware acceleration,0.00044772175688342696,0.0
63.16287,10.725897,deconvolution,0.0007292921498214403,0.0
-48.642563,-20.650902,mono (software),0.0005615360705825042,0.0
-28.909079,-29.786684,big data,0.0004432949922703075,0.0
-65.423035,-29.553434,nvidia,0.00042939591885782534,0.0
31.418087,-37.88134,situated cognition,4.828934243144249e-05,0.0
-3.4025714,32.938038,decision tree,4.828934243144249e-05,1.0
-0.16866268,23.339832,electronics,0.00022445149335842177,0.0
50.46743,-18.578386,systems neuroscience,4.9088976724765305e-05,0.0
-46.90775,60.502388,boolean-valued function,4.9088976724765305e-05,0.0
-32.733295,-75.13393,human enhancement,4.9088976724765305e-05,0.0
14.7293005,-19.060608,model-dependent realism,4.9088976724765305e-05,0.0
25.542253,15.792013,immunity to change,4.9088976724765305e-05,0.0
29.186224,-89.933174,eye,8.44885111781829e-05,0.0
0.83908975,-18.946772,mirror neuron,7.181383316510335e-05,0.0
-45.906036,-25.551289,open-source hardware,4.9088976724765305e-05,0.0
29.790142,-48.822845,cognitive neuroscience,0.0001266052622033332,0.0
43.158184,-23.06884,blue brain project,4.672739386030368e-05,0.0
-34.59257,26.810268,knowledge representation,9.482980123467204e-05,0.0
23.350107,-85.013985,eye care professional,4.672739386030368e-05,0.0
16.029688,-29.982466,philosophy of mind,6.807188359080413e-05,0.0
26.731197,-49.35844,social neuroscience,6.807188359080413e-05,0.0
14.1960535,16.050816,multivariate analysis,6.807188359080413e-05,0.0
35.139683,73.775635,newton's method,6.807188359080413e-05,0.0
-14.826283,24.411337,glossary of language teaching terms and ideas,6.807188359080413e-05,0.0
25.03239,7.237586,conceptual space,0.00013115211218060085,0.0
-7.6544147,-37.21231,computational models of musical creativity,9.6267534257652e-05,0.0
8.385404,-15.712131,philosophical realism,6.807188359080413e-05,0.0
36.387917,27.446333,series and parallel circuits,6.807188359080413e-05,0.0
25.557528,0.88707924,pattern matching,0.0001965121748342356,0.0
27.052519,-53.573856,affect (psychology),0.0001270196091116452,0.0
32.390312,10.703597,latent semantic indexing,0.00024336413588957234,0.0
31.5694,-47.71001,biological psychology,0.0002923868353865875,0.0
-26.0506,61.708294,degrees of truth,4.588418602427724e-05,0.0
-19.258446,-8.960543,enterprise bookmarking,0.00022253492413065702,0.0
-72.83913,-31.17476,opengl,0.00039152157814961296,0.0
6.7056246,7.88858,collective decision-making,0.0004956601478780173,0.0
-42.68448,-74.46985,diary,8.974566877246243e-05,0.0
79.37266,16.539013,cross-correlation,0.0003620857643830158,0.0
54.28267,10.817326,green's function,8.197628825503008e-05,0.0
-89.29867,6.397328,direct memory access,4.2738756002499036e-05,0.0
18.499334,-11.436413,cognitive computing,0.00041032715206165726,0.0
-17.309254,-87.418304,derivative work,0.0006844007424297931,0.0
-16.614641,54.208942,virtuous circle and vicious circle,0.00037669108588950874,0.0
25.88623,-37.73142,society of mind theory,0.0003747883037774612,0.0
-33.40042,27.07711,knowledge representation and reasoning,0.00021081116740707132,0.0
-60.31669,50.158222,binary decision diagram,0.00017996649174110076,0.0
-33.84636,9.489552,controlled vocabulary,0.0001035303835534063,0.0
-31.533117,14.96877,automatic programming,0.0003616827282668968,0.0
44.093525,57.084255,markov decision process,0.00013023186802229734,0.0
7.888805,-84.572556,eye tracking,0.00016171239182321046,0.0
26.167149,-39.047462,society of mind,0.00012474236897391816,0.0
-1.561041,-72.69368,strobe light,0.00032581524425295025,0.0
-11.830826,8.765764,sentence case,8.481442701655962e-05,0.0
17.485863,-6.0432925,neural darwinism,8.336629022109412e-05,0.0
16.513523,44.688683,validity (statistics),0.0002204129467803222,0.0
19.614634,-81.15999,orthoptics,4.596905353153501e-05,0.0
3.578432,-62.593864,auditory illusion,4.596905353153501e-05,0.0
-71.025215,-21.11532,vector processor,4.596905353153501e-05,0.0
23.0527,-72.56631,blindness,0.0001739013267334867,0.0
-19.073591,29.210352,language reform,7.422132178384555e-05,0.0
-73.70228,27.551933,bit,0.0004897071978646206,0.0
-84.26522,-6.514892,cpu,0.00010123200754560735,0.0
-87.4829,0.614043,bus (computing),4.596905353153501e-05,0.0
74.202065,-48.35427,distinction of blue and green in various languages,0.0010225794527705225,0.0
4.5947776,-44.11859,biological motion,0.00022319421085538723,0.0
-86.64101,11.393211,channel i/o,0.00020355642407806664,0.0
-46.65901,-72.09143,lifelogging,0.00013968065509360462,0.0
5.432618,2.665793,problem structuring methods,4.4150655119456746e-05,0.0
-59.753407,-1.7044683,computational electromagnetics,7.660729414217377e-05,0.0
-31.198997,61.67287,logical value,7.208241509879543e-05,0.0
-21.238388,42.79125,computational semiotics,9.941360913352908e-05,0.0
14.844871,-85.58553,eye movement,4.4150655119456746e-05,0.0
14.116615,-85.19808,eye movement (sensory),4.4150655119456746e-05,0.0
-31.54903,20.709248,mathematica,0.0007006707972400962,0.0
-42.788166,57.19008,boolean function,7.294158125239342e-05,0.0
-35.051258,46.16238,intuitionistic propositional calculus,7.778549833430567e-05,0.0
8.862203,-16.47532,conceptualist realism,7.116134088121855e-05,0.0
30.710556,62.77232,markov process,9.799914435829167e-05,0.0
-0.7571984,-21.373718,emotional contagion,4.4150655119456746e-05,0.0
1.9027734,96.26863,3gpp,9.497652962403925e-05,0.0
13.199373,-81.83269,peripheral vision,0.0014800113173940813,0.0
44.778065,41.972034,inverse problems,7.325994359956559e-05,0.0
16.585567,-20.51617,pragmatism,8.411651963361372e-05,0.0
-19.140495,-64.50589,cognitive map,6.788549964920918e-05,0.0
-33.752308,-3.7255487,data curation,4.4150655119456746e-05,0.0
-16.597025,-82.2133,digital image mosaic,4.4150655119456746e-05,0.0
-18.254675,-13.218448,human-based computation,4.4150655119456746e-05,0.0
-35.650574,20.85631,natural-language understanding,5.318779152397991e-05,0.0
6.146759,-33.43149,quantum mind,5.318779152397991e-05,0.0
-46.712555,-71.953,lifelog,0.0001438202236386284,0.0
-17.139969,17.80302,second-language acquisition,5.318779152397991e-05,0.0
27.93358,18.321335,ooda loop,0.00011139358115284156,0.0
-46.3079,-33.8779,cad standards,6.934234403104173e-05,0.0
-9.182733,-57.102516,acoustic location,0.0005355688869527082,0.0
69.69037,-8.283899,eeg analysis,0.00011824443016484992,0.0
-36.866817,9.577793,semantic translation,6.041338958718513e-05,0.0
27.190641,37.24692,racial profiling,0.00010440141742249282,0.0
40.401215,-59.47049,tetrachromacy,6.041338958718513e-05,0.0
26.58458,-27.028341,image schema,0.0001623024877811988,0.0
50.39698,-23.899384,neural decoding,6.041338958718513e-05,0.0
51.559475,-15.7508745,neural oscillation,3.930089734419978e-05,0.0
10.050967,-69.45341,infrasound,0.00010607564721308558,0.0
-58.02646,20.098343,finite difference methods,9.00998578652872e-05,0.0
-78.245926,-6.050812,instruction set architecture,0.00011128255075208623,0.0
-10.961508,18.467781,language transfer,9.895934213988822e-05,0.0
-1.0635711,9.61247,crime mapping,0.00036925095165807385,0.0
-42.444637,54.364025,symmetric difference,3.930089734419978e-05,0.0
-85.29471,-20.363482,high performance computing,6.041338958718513e-05,0.0
-12.724112,-22.657545,keeping up with the joneses,0.00032888138436804124,0.0
35.481026,-45.778576,neuropsychology,6.041338958718513e-05,0.0
49.70519,29.97304,signal-flow graph,0.00011088079764790456,0.0
18.405382,-24.058321,common coding theory,6.041338958718513e-05,0.0
29.867426,-46.35306,neuroethology,6.041338958718513e-05,0.0
-22.691566,-45.23035,artificial intelligence in healthcare,3.930089734419978e-05,0.0
-12.959678,-40.17743,music information retrieval,4.178901457396755e-05,0.0
24.250412,32.095932,jurimetrics,6.786027935052438e-05,0.0
71.69391,-49.925766,vision science,0.000198535986305532,0.0
-61.18217,51.870415,logic optimization,8.451275726211289e-05,0.0
2.5440645,89.738846,wimax,4.178901457396755e-05,0.0
-48.845543,55.7513,boolean algebra (logic),7.948640154684585e-05,0.0
-15.771628,57.560925,cycle of violence,4.178901457396755e-05,0.0
28.982315,-37.53949,distributed cognition,4.178901457396755e-05,0.0
-78.26562,-13.886332,programmable system on a chip,0.0010514286536628338,0.0
-69.39775,-42.126534,vdpau,5.219630595210728e-05,0.0
56.86637,38.959938,surrogate model,8.017943740614503e-05,0.0
-39.55019,-50.83585,structure from motion,8.060739010138897e-05,0.0
-58.53243,15.408452,finite volume method,5.219630595210728e-05,0.0
-62.97397,48.815018,digital circuit,5.219630595210728e-05,0.0
7.9362955,-23.267357,epistemology,8.173052149038671e-05,0.0
10.603677,-20.982605,ontological pluralism,5.219630595210728e-05,0.0
-30.819622,60.50942,truth value,5.219630595210728e-05,0.0
4.111721,-56.08828,sensory processing disorder,5.219630595210728e-05,0.0
-31.934639,-53.072514,videography,5.219630595210728e-05,0.0
-73.814995,-18.004684,larrabee (microarchitecture),8.251818752141891e-05,0.0
61.66512,-19.742872,social simulation,5.219630595210728e-05,0.0
-45.35455,49.322002,truth table,5.219630595210728e-05,0.0
60.735382,-62.501,satellite imagery,5.219630595210728e-05,0.0
-56.779366,56.90949,venn diagram,5.219630595210728e-05,0.0
36.55449,-34.94273,cognitive biology,5.219630595210728e-05,0.0
44.14846,-19.823523,computational neuroscience,5.219630595210728e-05,0.0
-0.52078,59.500866,boosting (machine learning),5.219630595210728e-05,0.0
-61.72441,-28.77919,molecular design software,5.219630595210728e-05,0.0
-49.721485,55.04874,boolean logic,8.945822437293243e-05,0.0
29.223867,-53.006096,neuroscience,5.219630595210728e-05,1.0
20.252825,-0.9127011,gene expression programming,5.219630595210728e-05,0.0
39.40102,-68.36641,rgb color model,5.219630595210728e-05,0.0
46.072697,19.371323,support vector machine,5.219630595210728e-05,0.0
-12.721639,35.723873,lexicostatistics,0.00011371404734378379,0.0
20.901201,2.2517433,case based reasoning,5.219630595210728e-05,0.0
-7.2071586,3.9634762,reification (computer science),5.219630595210728e-05,0.0
-1.4946878,41.120647,rough sets,5.219630595210728e-05,0.0
-22.73109,-61.48198,spatial contextual awareness,0.0001770188117056023,0.0
21.826275,73.83856,markov random field,6.286346958664967e-05,0.0
-21.144718,-3.559539,enterprise search,4.1941874530022994e-05,0.0
-8.4202795,-53.75851,head-related transfer function,7.681524810990601e-05,0.0
19.180151,52.065758,fisher information,4.1941874530022994e-05,0.0
-38.50914,-71.98263,quantified self,9.743388860406738e-05,0.0
32.801945,10.089777,latent semantic analysis,0.0008266576159791447,0.0
-66.045166,-26.04038,video card,4.2337225667961726e-05,0.0
51.260876,-20.051195,models of neural computation,8.992149621826421e-05,0.0
-12.555958,36.986504,glottochronology,6.770937311851975e-05,0.0
-29.58373,37.48049,combinatory logic,4.2337225667961726e-05,0.0
-63.169178,-23.439495,computer hardware,4.2337225667961726e-05,0.0
-26.656708,-19.77014,dispersed knowledge,4.2337225667961726e-05,0.0
-52.581318,-32.952976,computer-aided industrial design,0.00010388843510754218,0.0
-55.398712,57.61084,logical graph,7.115830583004803e-05,0.0
52.829838,-63.43753,hyperspectral imaging,9.042016658159104e-05,0.0
-23.567781,52.4496,mu (negative),5.145271955436975e-05,0.0
5.287077,-31.414925,quantum cognition,5.145271955436975e-05,0.0
-51.759544,56.093002,laws of form,5.010201944053797e-05,0.0
50.154896,-33.107937,neuroplasticity,5.010201944053797e-05,0.0
-13.734191,-85.91528,panoramic photography,5.010201944053797e-05,0.0
8.522649,-7.2243915,applications of artificial intelligence,5.010201944053797e-05,0.0
-58.035717,19.067415,finite difference method,5.010201944053797e-05,0.0
-9.4154415,-57.098125,acoustic source localization,5.010201944053797e-05,0.0
-22.677477,-57.947865,urban informatics,7.856611723716998e-05,0.0
-16.524414,4.994386,stemming,5.010201944053797e-05,0.0
12.261017,-17.226194,scientific realism,5.010201944053797e-05,0.0
55.49301,-63.48829,multispectral imaging,0.00011113333570181931,0.0
-1.1076475,59.791138,boosting (meta-algorithm),5.010201944053797e-05,0.0
-3.1986094,95.85416,dmb-t/h,5.010201944053797e-05,0.0
25.936531,-87.84305,ophthalmology,5.010201944053797e-05,0.0
59.392677,-37.683086,knowledge ecosystem,0.00016227667968217582,0.0
54.50183,71.38391,assignment problem,0.00011113333570181931,0.0
33.343487,69.30319,differential equation,7.509577701874545e-05,0.0
37.781784,-16.75482,parallel distributed processing,4.8033360248072197e-05,0.0
-43.652203,-70.203545,sousveillance,4.8033360248072197e-05,0.0
-23.278019,0.9559801,textmining,0.00011444322764411065,0.0
-48.766293,-0.076978244,pattern language,4.8033360248072197e-05,0.0
-17.665777,-2.1461053,search engine,5.1158207700830236e-05,0.0
-3.1372526,62.335674,decision tree learning,5.1158207700830236e-05,0.0
-39.83307,-25.30331,microsoft robotics studio,5.1158207700830236e-05,0.0
-36.83832,5.257053,semantic query,5.1158207700830236e-05,0.0
40.33416,-0.28659117,feature extraction,5.1158207700830236e-05,0.0
38.492367,-32.272408,cognition,5.1158207700830236e-05,0.0
-4.667937,58.717426,machine learning,5.1158207700830236e-05,0.0
-83.01934,-24.25993,manycore processor,5.1158207700830236e-05,0.0
49.8257,18.173422,kernel density estimation,8.8903778937263e-05,0.0
44.413532,-2.5748427,blob detection,5.164186051643784e-05,0.0
34.05722,53.692825,hybrid system,5.164186051643784e-05,0.0
-73.58004,24.422226,polling (computer science),4.784524605529295e-05,0.0
-30.177643,5.902691,natural-language user interface,4.784524605529295e-05,0.0
-77.74264,-21.82652,multicore,4.784524605529295e-05,0.0
-16.627607,-18.693556,smart mob,4.784524605529295e-05,0.0
-15.076867,-4.56854,recommendation system,0.0004414242678034515,0.0
-65.04777,-44.031727,brute force attack,7.094034125718964e-05,0.0
-60.4615,-29.63614,molecular modeling on gpu,4.784524605529295e-05,0.0
-10.54476,92.12181,wi-fi,4.784524605529295e-05,0.0
1.402313,21.522589,computer engineering,4.784524605529295e-05,0.0
12.305527,31.854433,learning analytics,4.784524605529295e-05,0.0
-61.666916,-39.578506,gpu cache,4.784524605529295e-05,0.0
-12.434269,-3.508851,surveillance capitalism,0.0005146510168861573,0.0
-10.5685,67.81005,limited dependent variable,4.784524605529295e-05,0.0
-23.979164,1.5545077,text analytics,7.382334072912874e-05,0.0
32.150616,-63.7603,visual agnosia,4.89788449575351e-05,0.0
31.41114,51.90156,probability,4.89788449575351e-05,0.0
-30.004244,4.643035,natural language user interface,4.89788449575351e-05,0.0
51.370632,-27.021431,neurophysics,5.2093783503399005e-05,0.0
65.37029,42.53406,optimization (mathematics),5.2093783503399005e-05,0.0
0.6370259,-71.89849,persistence of vision,5.2093783503399005e-05,0.0
-73.01953,-13.608265,"single instruction, multiple data",5.2093783503399005e-05,0.0
9.058685,10.45325,issue mapping,5.2093783503399005e-05,0.0
-31.652262,-37.82135,home automation,5.2093783503399005e-05,0.0
